REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
R1722,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,9757.58,2398.81,0,YES
R1723,"Q_RES_0402LF-169,1%,1/16W,CHIPA",169,1%,R0402,8850.96,2928.05,90,YES
R1724,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,8252.02,2924.07,270,YES
R1727,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,9735.08,2554.92,90,YES
R1743,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,5827,10107,90,NO
R1744,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,5867,10107,90,NO
R1756,"Q_RES_0402LF-22.1     ,1%  ,1/A",22.1,1%,R0402,7731.58,2148.81,0,YES
R1757,"Q_RES_0402LF-22.1     ,1%  ,1/A",22.1,1%,R0402,7732.58,2107.81,0,YES
R1758,"Q_RES_0402LF-1K,0.1%,1/16W,CHIA",1K,0.10%,R0402,8815.58,2224.81,180,YES
R1759,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,9339.97,2278.01,0,YES
R1760,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,9270.58,2083.81,270,YES
R1765,"Q_RES_0805LF-820,1%,1/4W,EMPTYA",820,1%,R0805,13242.32,2405.31,270,YES
R1766,"Q_RES_0402LF-1K,0.1%,1/16W,CHIA",1K,0.10%,R0402,8812.63,1831.25,0,YES
R1767,"Q_RES_0805LF-820,1%,1/4W,EMPTYA",820,1%,R0805,13320.32,2405.31,270,YES
R1768,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,7776.48,1471.28,270,NO
R1769,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,5757.28,9995.03,0,NO
R1770,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,5737.41,9873.63,0,NO
R1771,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,6384.28,11621.73,180,NO
R1772,"Q_RES_0402LF-2K,5%,1/16W,CHIP,A",2K,5%,R0402,5947,10107,270,NO
R1776,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,1096.77,290.7,180,YES
R1777,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,9150.74,1835.34,270,YES
R1778,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,6102.15,10232.29,90,YES
R1779,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,6169.15,9999.29,270,YES
R1780,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,10859.06,3665.51,270,NO
R1781,"Q_RES_0402LF-1K,5%,1/16W,EMPTYA",1K,5%,R0402,6027,10107,90,NO
R1795,"Q_RES_0402LF-51,5%,1/16W,CHIP,A",51,5%,R0402,9399,1993.5,90,YES
R1796,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,9305.81,2195.26,180,YES
R1797,"Q_RES_0402LF-150,5%,1/16W,CHIPA",150,5%,R0402,8960.58,2499.81,180,YES
R1798,"Q_RES_0402LF-220,5%,1/16W,CHIPA",220,5%,R0402,9495.58,2263.19,0,YES
R1799,"Q_RES_0402LF-220,5%,1/16W,CHIPA",220,5%,R0402,9495.58,2223.19,0,YES
R1800,"Q_RES_0402LF-150,5%,1/16W,CHIPA",150,5%,R0402,9329.79,1753,270,YES
R1801,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,4173.27,7151.58,0,YES
